Country Name,GDP (current US$),Internet users (per 100 people),"Population, female (% of total)",GDP per capita (current US$),"Labor force, female (% of total labor force)","Unemployment, female (% of female labor force) (modeled ILO estimate)"
China,8.37E+12,42.0000235,48.50481764,6187.90145,43.920431,3.625
Bhutan,1766409311,24.574,46.30060579,2376.112039,41.51138628,3.475000083
Timor-Leste,1269400000,0.85294,49.21291762,1101.584752,32.06691142,5.774999857
"Taiwan, China",0,0,0,0,0,0
"Macao SAR, China",42960342230,62.45833934,51.94407291,76701.59447,48.45184824,1.899999976
"Hong Kong SAR, China",2.61E+11,73.172,53.11412868,36586.82921,46.86754691,2.949999988
Central African Republic,1935775058,2.946,50.72996445,420.0152589,47.08181724,7.474999905
Denmark,3.32E+11,92.28194502,50.38177424,59408.17622,47.34134303,7.200000048
Ukraine,1.58E+11,34.33565257,53.75825234,3502.270348,48.90820438,6.675000072
Uzbekistan,51056028691,33.69426,50.81040905,1711.321869,40.27958231,11.0999999
Uganda,22441109780,14.82262867,50.04307761,630.7934966,49.34966033,4.750000119
Uruguay,50925342009,54.28168595,51.7658771,14983.68363,44.4336609,8.625
Chad,12410846629,2.1,49.96538204,973.35284,45.01096355,7.475000024
"Yemen, Rep.",32503720345,17.4503,49.48141495,1322.408235,25.85646052,40.09999943
Armenia,10134621824,36.54,50.50294766,3398.263089,43.51433309,19.24999952
Israel,2.69E+11,69.8847756,50.53684238,33884.60476,46.90077545,6.325000048
Iraq,1.99E+11,7.02,49.4169893,6038.688396,17.42100308,23.57500029
"Iran, Islamic Rep.",4.93E+11,25.386,49.54695171,6480.216369,18.16929346,20.45000029
Belize,1520570150,32.44,50.05198691,4563.672999,37.65682718,18.29999971
Cabo Verde,1798023836,34.9,50.72463119,3584.412119,39.03412609,7.325000167
Russian Federation,1.88E+12,58.858,53.59910903,13060.18188,48.85605459,5.774999976
Bulgaria,53448047385,50.93229614,51.35636028,7315.947335,46.44010224,10.5999999
Croatia,58695765485,62.31951043,51.78669074,13677.24199,45.66372721,14.54999971
Guam,0,61.58883186,49.22883648,0,43.93441174,0
"Gambia, The",893365229,12.41590574,50.48715236,496.0133855,47.79341646,7.475000024
Iceland,14929451304,95.82525727,49.78410291,46355.07399,47.4480824,5.949999809
Guinea,5665267952,1.422028873,49.9086493,485.2695716,45.68174206,1.399999976
Guinea-Bissau,975800619.9,2.887198124,50.36103476,568.7726747,47.10094627,7.224999905
Liechtenstein,5436606080,88.68354,0,148785.2316,0,0
"Congo, Rep.",13666546523,6.083339005,49.99068987,3188.156465,48.63231884,6.825000167
"Congo, Dem. Rep.",26962536355,1.759992203,50.17429875,381.2281619,49.80192686,9.050000191
Libya,59601389067,15.565,49.19092389,9502.232667,27.71301782,27.82499981
Liberia,1709419416,3.202,49.66538519,406.7972013,47.57171161,3.974999964
Canada,1.77E+12,83.844,50.40067841,50971.99433,47.14486633,6.899999976
Ghana,40182737291,11.72,50.43175311,1570.366583,49.9306366,4.475000143
Gabon,16885093552,8.571342898,49.49876228,10457.43257,45.74908994,26.9000001
Hungary,1.33E+11,70.47477721,52.46443249,13423.07087,45.86992441,10.57500005
Northern Mariana Islands,0,0,0,0,0,0
South Sudan,13759619757,12.33333333,49.976624,1266.461827,0,0
South Africa,3.81E+11,38.894,50.90645965,7285.4268,44.31521233,27.75
Botswana,14810934172,11.8,50.04208759,6938.010979,47.11519013,21.52500057
Qatar,1.80E+11,76.818,25.50345633,89692.04022,12.55354934,3.275000036
Rwanda,6947425977,8.524770855,52.20101978,640.5204704,54.09877427,0.350000009
Luxembourg,56880611013,92.20925646,50.10346502,108320.5967,43.95237065,5.975000024
India,1.86E+12,12.65001218,48.15004465,1472.001995,24.48936878,4.200000048
Indonesia,8.73E+11,13.96,49.60735719,3517.766434,37.84768586,7.75
Guatemala,50392129213,16.38,51.12454712,3270.029838,38.0010702,4.700000048
Ecuador,86294259000,35.77712781,49.98352394,5583.572309,40.02949974,5.874999881
Eritrea,3023733105,0.8,49.97626461,614.3551774,47.85257628,7.475000024
Cuba,70901772500,22.20945816,49.7336795,6254.821467,38.15745548,3.625
Kyrgyz Republic,6467340830,20.98,50.61867554,1146.694435,42.64597504,9.5
Djibouti,1351850669,8.395446578,49.76735606,1581.357579,34.8624888,0
Kazakhstan,1.97E+11,48.88113382,51.75262111,11687.36614,49.36204877,6.575000048
